user_id,source, purchase
user_id,sourc, category
1840e0b9d4,othe, Продукты
4e4f90fcfb,contex, Электроника
afea8d72fc,othe, Электроника
2824221f38,emai, Продукты
373a6055fe,othe, Бытовая техника
9b2ab046f3,othe, Электроника
9f39d307c3,contex, Электроника
44edeffc91,contex, Продукты
704474fa2d,othe, Продукты
1de31be403,othe, Бытовая техника
5da0dedf13,contex, Досуг
b71f36a5e4,othe, Продукты
79843a685a,contex, Продукты
ff68cee0d6,contex, Бытовая техника
e8447c40e2,emai, Досуг
b9ef8fdf47,othe, Продукты
98d290be27,othe, Электроника
3fff459bda,othe, Электроника
fa0079a5a8,othe, Досуг
fdd6b2fc76,contex, Бытовая техника
54ecd881a2,othe, Бытовая техника
22d2f03a17,contex, Досуг
c9fa1b54d5,othe, Продукты
3f8e1ccd3f,othe, Электроника
81a9988b83,contex, Электроника
65f44a2eb7,contex, Досуг
6df948569b,othe, Бытовая техника
5f8fbb0149,othe, Бытовая техника
3ecff691fd,contex, Электроника
dd0e912251,othe, Электроника
9250593d55,othe, Электроника
37c4e090e4,othe, Электроника
22fa3ea76f,othe, Электроника
73b876b237,contex, Электроника
ed6b87f95d,contex, Досуг
f983a69d67,othe, Товары для животных
4ea17212f8,othe, Продукты
c6de96a5e2,othe, Товары для животных
4175fd2e58,othe, Электроника
d8e3bcee53,contex, Продукты
680aa815f9,othe, Продукты
4a92a68cf9,othe, Электроника
905e60cb52,othe, Бытовая техника
393bcfb298,othe, Продукты
06d450cc57,contex, Электроника
b60ce22f17,othe, Электроника
6f159c4c2e,othe, Товары для животных
564202f6bd,contex, Электроника
1908683775,othe, Электроника
8fd957a463,othe, Продукты
72e0a3f1d0,othe, Бытовая техника
7f5f56e517,othe, Досуг
bc1a0a7e26,othe, Досуг
17639fe89d,othe, Досуг
74c9201f84,contex, Электроника
bc4ebda0df,othe, Досуг
fe4615dd15,othe, Досуг
d2c560746d,othe, Бытовая техника
f0a93d52d2,othe, Электроника
fe52ded300,othe, Электроника
dbe70d84e4,contex, Строительство и ремонт
f660dbcc3f,contex, Электроника
f93283c9ee,othe, Бытовая техника
66bea9bf58,othe, Бытовая техника
111c52d9bc,othe, Продукты
16dc76e94d,othe, Электроника
87f37b380c,othe, Продукты
365e3edd2e,othe, Бытовая техника
830421d975,othe, Продукты
7d6c62f0a2,contex, Бытовая техника
77465a0b61,othe, Бытовая техника
ee9eb52181,emai, Товары для животных
871c1fa9ae,othe, Продукты
03b91dba06,othe, Электроника
6cb42b2632,emai, Бытовая техника
c7f6fbe42f,othe, Бытовая техника
9ab8f3bbb8,contex, Бытовая техника
63df9ee9d3,contex, Электроника
2ffd6c724d,othe, Продукты
af24cffd03,contex, Электроника
421149bb9a,othe, Строительство и ремонт
24300c6d1c,othe, Электроника
40fe35eb76,emai, Строительство и ремонт
9ca11a651f,emai, Электроника
b7e640032f,othe, Электроника
3691ad282b,othe, Электроника
00ea2f7484,othe, Электроника
6f198ac1c9,othe, Бытовая техника
0d479d4259,othe, Электроника
2c8067b7a3,othe, Продукты
b461051101,othe, Досуг
d39a1d56c3,contex, Бытовая техника
316ab03143,Non, Товары для животных
78ed39a415,othe, Электроника
fd2c2b59b9,contex, Бытовая техника
19d1e4e036,contex, Товары для животных
9e765c6822,othe, Продукты
ddd50eaa45,othe, Электроника
e07b13abd0,emai, Бытовая техника
c21b82499e,contex, Электроника
da79d9ff30,othe, Товары для животных
eded5c6792,contex, Досуг
